accountsPayable,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX
Swarm Contributions,1,meeting,attend weekly call 31 August,ewf374,,100,
Swarm Contributions,1,meeting,attend weekly call 31 August,3fr34r,,100,
Swarm Contributions,1,meeting,attend weekly call 31 August,3r43fw,,100,
Swarm Contributions,1,meeting,attend weekly call 31 August,2332we,,100,
Swarm Contributions,1,meeting,attend weekly call 31 August,grt345,,100,
Swarm Contributions,2,proposal,write fund 10 proposal,sdf32g,200,200,
Swarm Contributions,2,proposal,write fund 10 proposal,45tr32,200,200,
Swarm Contributions,3,meeting,attend weekly call 2 September,rg45gh,,100,100
Swarm Contributions,3,meeting,attend weekly call 2 September,uk56ee,,100,100
Swarm Contributions,3,meeting,attend weekly call 2 September,234ds3,,100,100
Swarm Contributions,3,meeting,attend weekly call 2 September,wet34w,,100,100
Swarm Contributions,3,meeting,attend weekly call 2 September,cb34vw,,100,100
Swarm Contributions,3,meeting,attend weekly call 2 September,2r2f34,,100,100
